filename,identifier_local,identifier_isbn,identifier_ark,identifier_pid,title_tamil,title,title_transliteration,personal_role_names_tamil,personal_role_names,,,,,publisher_tamil,publisher,published_place_tamil,published_place,type_of_resource_tamil,type_of_resource,genre_tamil,genre,datecreated_rad14b5,datecreated_start_iso8601,datecreated_end_iso8601,language_iso6392b,language_iso6392b_tamil,,,description_tamil,subject_topic_tamil,subject_topic,subject_name_personal_tamil,subject_name_personal,subject_name_corporate_tamil,subject_name_corporate,subject_temporal_tamil,,subject_geographic_tamil,,physicaldescription_internetmediatype,physicaldescription_reformatting_quality,accesscondition_useandreproduction_tamil,accesscondition_useandreproduction,note
,tamilmann_1,,61220/utsc8758,https://ark.digital.utsc.utoronto.ca/ark:/61220/utsc8758,சாமி. சிதம்பரனார் நூற் களஞ்சியம் ,Cāmi. Citamparaṉār books collection,Cāmi. Citamparaṉār nūṟ kaḷañciyam,"ஆசிரியர்:சிதம்பரனார், சாமி.","Author:Citamparaṉār, Cāmi.",ஆசிரியர்,Author,"சிதம்பரனார், சாமி. ","Citamparaṉār, Cāmi.",அமிழ்தம் பதிப்பகம்,Amiltham Pathipagam,சென்னை,Chennai,எழுத்து,Text,நூற்றொகுதி,Volume,2013,1929,1962,tam,தமிழ்,நாட்டுடைமையாக்கப்பட்ட தமிழ் எண்ணிம நூல்கள் ,Nationalized Tamil Digital Works,இலக்கியம்|தமிழ் இலக்கியம்|சங்க இலக்கியங்கள்|பண்டைத் தமிழர் வரலாறு|அற நூல்கள்|பெண் உரிமை|பெண் விடுதலை|இடதுசாரி அரசியல்|பக்தி இலக்கியம்|தமிழ் இலக்கணம்|சித்தர் பாடல்கள்|பகுத்தறிவு இயக்கம்|திருக்குறள்|நாலடியார்|நான்மணிக்கடிகை|பத்துப்பாட்டு|எட்டுத் தொகை|தமிழர் பண்பாடு|தமிழர் வாழ்வியல்|சிலப்பதிகாரம்|மணிமேகலை|பட்டினப்பாலை|தொல்காப்பியம்|கம்பராமாயணம்|குறுந்தொகை|பக்தி இலக்கியம்|தேவாரம்|ஆன்மீகம்|பழந்தமிழர் அரசியல்|சித்த மருத்துவம்|அறம்|சுயமரியாதை இயக்கம்|சமதர்ம இயக்கம்|பதினெண் கீழ்க்கணக்கு|திருஅருட்பா|தமிழ்க் காப்பியங்கள்,இலக்கியம்|தமிழ் இலக்கியம்|சங்க இலக்கியங்கள்|பண்டைத் தமிழர் வரலாறு|அற நூல்கள்|பெண் உரிமை|பெண் விடுதலை|இடதுசாரி அரசியல்|பக்தி இலக்கியம்|தமிழ் இலக்கணம்|சித்தர் பாடல்கள்|பகுத்தறிவு இயக்கம்|திருக்குறள்|நாலடியார்|நான்மணிக்கடிகை|பத்துப்பாட்டு|எட்டுத் தொகை|தமிழர் பண்பாடு|தமிழர் வாழ்வியல்|சிலப்பதிகாரம்|மணிமேகலை|பட்டினப்பாலை|தொல்காப்பியம்|கம்பராமாயணம்|குறுந்தொகை|பக்தி இலக்கியம்|தேவாரம்|ஆன்மீகம்|பழந்தமிழர் அரசியல்|சித்த மருத்துவம்|அறம்|சுயமரியாதை இயக்கம்|சமதர்ம இயக்கம்|பதினெண் கீழ்க்கணக்கு|திருஅருட்பா|தமிழ்க் காப்பியங்கள்,,"கம்பர்|தொல்காப்பியர்|மாணிக்கவாசகர்|அருணகிரிநாதர்|குமரகுருபரர்|பட்டினத்தார்|தாயுமானவர்|இராமலிங்க அடிகள்|உமர்கய்யாம்|காரல் மார்க்சு|திருவள்ளுவர்|கரிகாற் சோழன்|உருத்திரங்கண்ணனார்|இளங்கோ அடிகள்| இராமசாமி, ஈ. வெ. (பெரியார்)|முன்சீப் வேதநாயகம் பிள்ளை|கோப்பெருஞ் சோழன்|இராமானுசர்|மெய்ப்பொருள் நாயனார்|ஒட்டக்கூத்தர்|உக்கிர குமார பாண்டியன்|திருமழிசை ஆழ்வார்|அமர்நீதி நாயனார்|பேகன் வள்ளல்|கௌதம புத்தர்|ஜராசந்தன்|பாபர்|ஆதிமந்தியார்|மகேந்திரப் பல்லவன்|நக்கீரனார்|அப்பூதியடிகள் நாயனார்|ஆபுத்திரன்|திருமங்கை ஆழ்வார்|இயேசு நாதர்|ஆபிரகாம் லிங்கன்|கன்பூஷியஸ்|ஔவையார்|அதியமான்|கரிகாற் சோழன் (கரிகாலன்)|சுப்பிரமணியத் தேசிகர்|காந்தி|திருஞானசம்பந்தர்|திருநாவுக்கரசர்|சுந்தரமூர்த்தி நாயனார்|பெரியாழ்வார்|ஆண்டாள்|குலசேகர ஆழ்வார்|தொண்டர் அடிப்பொடி ஆழ்வார்|நம்மாழ்வார்|திருமூலர்|குமணன்|வேள்பாரி|பல்யாகசாலை முதுகுடுமிப் பெருவழுதி|கிள்ளி வளவன்|பாண்டியன் நெடுஞ்செழியன்|இளஞ்சேட் சென்னி|சேரன் செங்குட்டுவன்|மநுநீதி கண்ட சோழன்|பாம்பாட்டிச் சித்தர்|இடைக்காட்டுச் சித்தர்|அகப்பேய்ச் சித்தர்|குதம்பைச் சித்தர்|கடுவெளிச் சித்தர்|அகத்தியர்|அழுகணிச் சித்தர்|கொங்கணச் சித்தர்|வால்மீகர்|காகபுசுண்டர்|சிவவாக்கியர்|ஞானவெட்டியான்",,,,கி. பி. 8-9 ஆம் நூற்றாண்டு|15 ஆம் நூற்றாண்டு|கி. பி. 7-9 ஆம் நூற்றாண்டு|தொல்காப்பியர் காலம்|சங்க காலம்,,வடலூர்|சோழ நாடு|காவிரிப்பூம்பட்டினம்|ஈரோடு|தமிழகம்|மதுரை|வஞ்சி|காஞ்சி|சீர்காழி,,application/pdf,preservation,"எண்ணிம புலமைப் பிரிவுத் தளத்தில் காணப்படும் எண்ணிம ஆவணங்கள் காப்புரிமை சட்டத்துக்கு இசைவான ஆய்வுக்கும் தனிப்பட்ட பயில்வுக்குமானவை. இத்தளத்தில் காணப்படும் எண்ணிம ஒளிப்படங்கள், எழுத்துப் பிரதிகளுக்கான அணுக்கமும் தரவிறக்கல், நகலெடுப்பதற்கான தொழிநுட்ப இயலுகையும் மீள் பயன்பாட்டு அனுமதியைக் குறிப்பதன்று. நாட்டுடைமையாக்கப்பட்ட தமிழ் நூல்கள் சேகரமானது கிரியேட்டிவ் காமன்ஸ் - படைப்பாக்கப் பொதுமம் குறிப்பிடுதல் - அதே மாதிரிப் பகிர்தல் 4.0 உரிமத்தின் (https://creativecommons.org/licenses/by-sa/4.0/) கீழ் வெளியிடப்பட்டுள்ளது. இந்நியமங்களுக்கு அமைவான உரிய ஒப்புகைச் சான்று இச்சேகரத்திற்கு வழங்கப்படல் வேண்டும். மேலதிக விபரங்களுக்கு ரொறன்ரோ பல்கலைக்கழகம் ஸ்கார்புரோ நூலகத்தின் ஆவணக மற்றும் சிறப்புச் சேகரங்கள் பிரிவைத் தொடர்பு கொள்ளவும். 
","Digital files found in the UTSC Library’s Digital Collections are meant for research and private study used in compliance with copyright legislation. Access to digital images and text found on this website and the technical capacity to download or copy it does not imply permission to re-use. The Nationalized Tamil Books collection has been made available under the Attribution-ShareAlike 4.0 International license (https://creativecommons.org/licenses/by-sa/4.0/) and requires appropriate credit given to this collection following these standards. Please contact UTSC Library, Archives & Special Collections for further information.
",Individual works not separated.
,tamilmann_2,,61220/utsc8759,https://ark.digital.utsc.utoronto.ca/ark:/61220/utsc8759,மயிலை சீனி. வேங்கடசாமி ஆய்வுக் களஞ்சியம் ,Mayilai Cīṉi. Vēṅkaṭacāmi research collection,Mayilai Cīṉi. Vēṅkaṭacāmi āyvuk kaḷañciyam,"ஆசிரியர்:வேங்கடசாமி, மயிலை சீனி.|பதிப்பாசிரியர்: அரசு, வீ.","Author:Vēṅkaṭacāmi, Mayilai Cīṉi.|Publishing Editor: Aracu, Vī.",ஆசிரியர்; பதிப்பாசிரியர்,Author; Publishing Editor,"வேங்கடசாமி, மயிலை சீனி.; அரசு, வீ. ","Vēṅkaṭacāmi, Mayilai Cīṉi.; Aracu, Vī. ",இளங்கணி பதிப்பகம்,Ilankani Pathipagam,சென்னை,Chennai,எழுத்து,Text,நூற்றொகுதி,Volume,2014,1936,1983,tam,தமிழ்,நாட்டுடைமையாக்கப்பட்ட தமிழ் எண்ணிம நூல்கள் ,Nationalized Tamil Digital Works,"1. பண்டைத் தமிழக  வரலாறு (சேரர், சோழர், பாண்டியர்)        
2. பண்டைத் தமிழக வரலாறு (கொங்குநாடு, பாண்டியர், பல்லவர், இலங்கை வரலாறு)        
3. பண்டைத் தமிழக வரலாறு (களப்பிரர், துளு நாடு)        
4. பண்டைத் தமிழகம் (வணிகம், நகரங்கள் மற்றும் பண்பாடு)        
5. பண்டைத் தமிழகம் (ஆவணம், பிராமி எழுத்துகள், நடுகற்கள்)        
6. பண்டைத் தமிழ் நூல்கள் (கால ஆராய்ச்சி, இலக்கிய ஆராய்ச்சி)        
7. தமிழகச் சமயங்கள் (சமணம்)        
8. தமிழகச் சமயங்கள் (பௌத்தம்)        
9. தமிழில் சமயம் (கௌதம புத்தரின் வாழ்க்கை)        
10. தமிழில் சமயம் (பௌத்தக் கதைகள், இசைவாணர் கதைகள்)        
11. தமிழில் சமயம் (புத்த ஜாதகக் கதைகள்)        
12. தமிழகக் கலை வரலாறு (சிற்பம், கோயில்)
13. தமிழகக் கலை வரலாறு (இசை, ஓவியம், அணிகலன்கள்)        
14. தமிழக ஆவணங்கள் (சாசனச் செய்யுள், செப்பேடுகள், கல்வெட்டுகள்)        
15. தமிழக ஆவணங்கள் (மறைந்துபோன தமிழ் நூல்கள்)        
16. தமிழ் இலக்கிய வரலாறு (பத்தொன்பதாம் நூற்றாண்டு)         
17. பண்டைத் தமிழக வரலாறு (கிறித்தவமும் தமிழும்)        
18. தமிழியல் ஆய்வு (சொல்லாய்வுகள், வாழ்க்கை வரலாறு)        
19. பதிப்பு - மொழிபெயர்ப்பு - உரை (நேமிநாதம், நந்திக் கலம்பகம், பிறநூல்கள்)        
20. பதிப்பு (மனோன்மணியம், நாடகம்)        ",வரலாறு|இலக்கியம்|கலை|சமயம்|தமிழர் வரலாறு|தமிழர் அரசியல் வரலாறு|இலங்கைத் தமிழர் வரலாறு|தமிழகச் சமயங்கள்|பண்டைத் தமிழகம்|தமிழர் கலை வரலாறு|தமிழ் இலக்கிய வரலாறு|தமிழ்ச் சமூக வரலாறு|தமிழியல் ஆய்வு|சமணம்|பௌத்தம்|நேமிநாதம்|நந்திக் கலம்பகம்|மனோன்மணியம்|பண்டைத் தமிழர் வணிகம்|பண்டைத் தமிழக நகரங்கள்|பண்டைத் தமிழர் பண்பாடு|தமிழர் தொல்லெழுத்தியல்|பிராமி எழுத்துக்கள்|நடுகற்கள்|தமிழ் இலக்கியம்|தமிழ்க் காப்பியங்கள்|இலக்கியத் திறனாய்வு|புத்த ஜாதகக் கதைகள்|தமிழகச் சிற்பங்கள்|தமிழர் பண் மரபு|தமிழ்நாட்டு ஓவியம்|தமிழர் அணிகலன்கள்|தமிழ்க் கல்வெட்டுக்கள்|கிறித்தவம்|இயேசு சபைகள்|மத்த விலாசம்|தமிழர் உணவு முறைகள்|சங்க இலக்கியம்|கோயில் கட்டடக்கலை வரலாறு|வேள்விக்குடிச் செப்பேடுகள்|தமிழ் இலக்கியக் கால ஆய்வு|தொல்காப்பியம்|சிலப்பதிகாரம்|மணிமேகலை|திருக்குறள்|திரிபிடகம்|சிற்பக் கலை|தமிழர் நுண்கலைகள்|இஸ்லாம்|தமிழ் அச்சுநூல் வரலாறு|சொல்லியல் ஆய்வு,,கௌதம புத்தர்|இசைவாணர்|மனோன்மணியம் சுந்தரப்பிள்ளை|பாண்டியன் நெடுஞ்செழியன்|பாண்டியன் நெடுமாறன்|அந்துவஞ்சேரல் இரும்பொறை|செல்வக் கடுங்கோ வாழியாதன்|பெருஞ்சேரல் இரும்பொறை|குட்டுவன் இரும்பொறை|இளஞ்சேரல் இரும்பொறை|யானைக்கட்சேய் மாந்தரஞ்சேரல் இரும்பொறை|கணைக்கால் இரும்பொறை|செங்கட்சோழன் கணைக்கால் இரும்பொறை|மகேந்திரவர்மன்|நரசிம்மவர்மன்|மூன்றாம் நந்திவர்மன்|ஔவையார்|அதியமான்|தொல்காப்பியர்|இளங்கோ அடிகள்|சீத்தலைச் சாத்தனார்|மாநாய்கன்|மாசாத்துவான்|கண்ணகி|தேவந்தி|திருவள்ளுவர்|முதலாழ்வார்|திருமழிசை ஆழ்வார்|சுந்தரமூர்த்தி சுவாமிகள்|திருநாவுக்கரசர்|கம்பர்|சரளர்|வரகுண பாண்டியன்|தேனவரை நாயனார்|நந்திவர்மன்|யுவான் சுவாங்|காந்தி|நிகண்டனார்|கலைக்கோட்டுத் தண்டனார்|கல்லாடனார்|கிறீன் வைத்தியர்|வண. பண்டித ஹிஸ்ஹெல்லெ தருமரதன தேரோ|மகேந்திர விக்கிரவர்மன்,,சாத்து வணிகக் குழு|திரமிள சங்கம்|சென்னைக் கல்விச் சங்கம்|கையெழுத்துச்சுவடி நூல்நிலையம் ,,சங்க காலம்|களப்பிரர் காலம்|பல்லவர் காலம்|பாண்டியர் காலம்|தொல்காப்பியர் காலம்|சேரர் காலம்,,இலங்கை|கொங்குநாடு|துளுநாடு|பாடலிபுரம்|சாவகநாடு|மலேயா|பர்மா|எகிப்து|யவன தேசம்|அரபு நாடுகள்|மயிலாப்பூர்|உரோம்|வஞ்சி|உறையூர்|அரச்சலூர்|கொங்கர் புளியங்குளம்|குன்னக்குடி (குன்றக்கடி)|மால கொண்ட|முத்துப்பட்டி|அழகர் மலை|ஆண்டிப்பட்டி|விக்கிரம மங்கலம்|அரிட்டாப்பட்டி|ஆனைமலை|கருங்காலக்குடி|மேட்டுப்பட்டி (சித்தர் மலை)|கீழை வளவு|மருகால் தலை|அரிக்கமேடு|திருப்பரங்குன்றம்|புகழூர்|ஐயர்மலை|காவிரிப்பூம்பட்டினம்|தமிழ் நாடு|மகாபலிபுரம்|திருவக்கரை|திருக்காரிக் கரை|திருப்பாலைவனம்|திருமெழுக்குப் புறம்|உதிரப் பட்டி (இரத்தக் காணி)|ஆனைமங்கலம்|சென்னை|மயிலாப்பூர்,,application/pdf,preservation,"எண்ணிம புலமைப் பிரிவுத் தளத்தில் காணப்படும் எண்ணிம ஆவணங்கள் காப்புரிமை சட்டத்துக்கு இசைவான ஆய்வுக்கும் தனிப்பட்ட பயில்வுக்குமானவை. இத்தளத்தில் காணப்படும் எண்ணிம ஒளிப்படங்கள், எழுத்துப் பிரதிகளுக்கான அணுக்கமும் தரவிறக்கல், நகலெடுப்பதற்கான தொழிநுட்ப இயலுகையும் மீள் பயன்பாட்டு அனுமதியைக் குறிப்பதன்று. நாட்டுடைமையாக்கப்பட்ட தமிழ் நூல்கள் சேகரமானது கிரியேட்டிவ் காமன்ஸ் - படைப்பாக்கப் பொதுமம் குறிப்பிடுதல் - அதே மாதிரிப் பகிர்தல் 4.0 உரிமத்தின் (https://creativecommons.org/licenses/by-sa/4.0/) கீழ் வெளியிடப்பட்டுள்ளது. இந்நியமங்களுக்கு அமைவான உரிய ஒப்புகைச் சான்று இச்சேகரத்திற்கு வழங்கப்படல் வேண்டும். மேலதிக விபரங்களுக்கு ரொறன்ரோ பல்கலைக்கழகம் ஸ்கார்புரோ நூலகத்தின் ஆவணக மற்றும் சிறப்புச் சேகரங்கள் பிரிவைத் தொடர்பு கொள்ளவும். 
","Digital files found in the UTSC Library’s Digital Collections are meant for research and private study used in compliance with copyright legislation. Access to digital images and text found on this website and the technical capacity to download or copy it does not imply permission to re-use. The Nationalized Tamil Books collection has been made available under the Attribution-ShareAlike 4.0 International license (https://creativecommons.org/licenses/by-sa/4.0/) and requires appropriate credit given to this collection following these standards. Please contact UTSC Library, Archives & Special Collections for further information.
",
,tamilmann_3,,61220/utsc8760,https://ark.digital.utsc.utoronto.ca/ark:/61220/utsc8760,அறிஞர் க. வெள்ளைவாரணனார் நூல் வரிசை ,Aṟiñar K. Veḷḷaivāraṇaṉār book series,Aṟiñar K. Veḷḷaivāraṇaṉār nūl varicai,"ஆசிரியர்:வெள்ளைவாரணனார், க.","Author:Veḷḷaivāraṇaṉār, K.",ஆசிரியர்,Author,"வெள்ளைவாரணனார், க.","Veḷḷaivāraṇaṉār, K.",மாணவர் பதிப்பகம்,Manavar Pathipagam,சென்னை,Chennai,எழுத்து,Text,நூற்றொகுதி,Volume,2013|2014,1948,2002,tam,தமிழ்,நாட்டுடைமையாக்கப்பட்ட தமிழ் எண்ணிம நூல்கள் ,Nationalized Tamil Digital Works,"1. சங்ககாலத் தமிழ் மக்கள்	
2. இசைத்தமிழ்	
3. தில்லைப் பெருங்கோயில் வரலாறு	
4. திருவருட்பாச் சிந்தனை	
5. சைவ சித்தாந்த சாத்திர வரலாறு (பாகம் 1)	
6. சைவ சித்தாந்த சாத்திர வரலாறு (பாகம் 2)	
7. திருவருட் பயன் (நிரம்ப அழகிய தேசிகர் உரையும் க. வெள்ளைவாரணனார் உரை விளக்கமும்)	
8. திருமந்திர அருள்முறைத் திரட்டு (உரையுடன்)	
9. திருவுந்தியார் - திருக்களிற்றுப்படியார் (விளக்கவுரை)	
10. தமிழ் இலக்கிய வரலாறு - தொல்காப்பியம்	
11. தொல்காப்பியம் - நன்னூல் (எழுத்ததிகாரம்)	
12. தொல்காப்பியம் - நன்னூல் (சொல்லதிகாரம்)	
13. தொல்காப்பியம் - பொருளதிகாரம் (புறத்திணை இயல்)	
14. தொல்காப்பியம் - பொருளதிகாரம் (களவியல்)	
15. தொல்காப்பியம் - பொருளதிகாரம் (கற்பியல்)	
16. தொல்காப்பியம் - பொருளியல்	
17. தொல்காப்பியம் - பொருளதிகாரம் (மெய்ப்பாட்டியல்)	
18. தொல்காப்பியம் - பொருளதிகாரம் (உவமையியல்)	
19. தொல்காப்பியம் -  பொருளதிகாரம் (செய்யுளியல் 1)	
20. தொல்காப்பியம் - பொருளதிகாரம் (செய்யுளியல் 2)	
21. தொல்காப்பியம் - பொருளதிகாரம் (மரபியல்)	",தமிழர் வாழ்வியல்|தமிழ் இசை|தமிழ் இலக்கியம்|தமிழ் இலக்கணம்|சைவசமயம்|சைவசித்தாந்தம்|தமிழ் இலக்கிய வரலாறு|தொல்காப்பியம்|சைவத் திருமுறைகள்|திருவருட்பா|இசைத்தமிழ் இலக்கியம்|தமிழிசை இயக்கம்|தில்லைப் பெருங்கோயில்|தலபுராணம்|சமரச சன்மார்க்கம்|ஆன்மீகம்|சைவசித்தாந்த சாத்திரங்கள்|சிலப்பதிகாரம்|மணிமேகலை|திருமந்திரம்|திருவுந்தியார்|திருக்களிற்றுப்படியார்|திருக்குறள்|சங்க இலக்கியம்|திருவருட்பயன்,,இராமலிங்க அடிகள்|உமாபதி சிவாசாரியார்|திருமூலநாயனார் (திருமூலர்)|திருக்கடவூர் உய்யவந்த தேவநாயனார்|தொல்காப்பியர்|திருவள்ளுவர்|திருவாதவூரடிகள்|அகத்தியர்|நிலந்தரு திருவிற் பாண்டியன்|அதங்கோட்டாசான்,,,,20ஆம் நூற்றாண்டு|சங்க காலம்|தொல்காப்பியர் காலம்,,தமிழகம்,,application/pdf,preservation,"எண்ணிம புலமைப் பிரிவுத் தளத்தில் காணப்படும் எண்ணிம ஆவணங்கள் காப்புரிமை சட்டத்துக்கு இசைவான ஆய்வுக்கும் தனிப்பட்ட பயில்வுக்குமானவை. இத்தளத்தில் காணப்படும் எண்ணிம ஒளிப்படங்கள், எழுத்துப் பிரதிகளுக்கான அணுக்கமும் தரவிறக்கல், நகலெடுப்பதற்கான தொழிநுட்ப இயலுகையும் மீள் பயன்பாட்டு அனுமதியைக் குறிப்பதன்று. நாட்டுடைமையாக்கப்பட்ட தமிழ் நூல்கள் சேகரமானது கிரியேட்டிவ் காமன்ஸ் - படைப்பாக்கப் பொதுமம் குறிப்பிடுதல் - அதே மாதிரிப் பகிர்தல் 4.0 உரிமத்தின் (https://creativecommons.org/licenses/by-sa/4.0/) கீழ் வெளியிடப்பட்டுள்ளது. இந்நியமங்களுக்கு அமைவான உரிய ஒப்புகைச் சான்று இச்சேகரத்திற்கு வழங்கப்படல் வேண்டும். மேலதிக விபரங்களுக்கு ரொறன்ரோ பல்கலைக்கழகம் ஸ்கார்புரோ நூலகத்தின் ஆவணக மற்றும் சிறப்புச் சேகரங்கள் பிரிவைத் தொடர்பு கொள்ளவும். 
","Digital files found in the UTSC Library’s Digital Collections are meant for research and private study used in compliance with copyright legislation. Access to digital images and text found on this website and the technical capacity to download or copy it does not imply permission to re-use. The Nationalized Tamil Books collection has been made available under the Attribution-ShareAlike 4.0 International license (https://creativecommons.org/licenses/by-sa/4.0/) and requires appropriate credit given to this collection following these standards. Please contact UTSC Library, Archives & Special Collections for further information.
",
