# (C) 2016 Muthiah Annamalai | Compiled for Open-Tamil project
# This data is released under public domain
# format is self-descriptive: '#' describes comments, 
# '>>' start of category, and end of previous category
# words are 1-word per line, terminal or start spaces to be ignored
# Ref: 
>>Flowers
Jasmine மல்லிகை பூ, மௌவல், முகரி
Rose ரோஜா பூ, முட்செவ்வந்தி , முளரி பூ , பன்னீர்ப்பூ
Daisy வெளிராதவன், வெளிராதவப்பூ
Lily அல்லி
WaterLily ஆம்பல் , நீராம்பல் , செங்கழுநீர்
Lotus தாமரை, கமலம் , திருமலர் , நீரோருகம், தோடகம், நீரசம்
Tulip காட்டுசெண்பகம்
Hibiscus செம்பருத்தி
Rafflesia பிணவல்லி
Chrysanthemum சாமந்தி , சிவந்தி
Saffron குங்குமப்பூ
Orchid  மந்தாரை
Fern சூரல் , பெரணி , பன்னம்
